,screen_name,friends_count
1113,bournemouthuni,759
1114,CapcomEurope,433
1115,josiefraser,3061
1116,urbangenie,830
1117,shutupadie,991
1118,GooglePoetics,8
1119,TheNoelTruth,31
1120,Lydia_Hampson,880
1121,SocialMediaDick,987
1122,Jellybooks,1553
1123,Jigsaw,1064
1124,tim_cook,70
1125,willpsaunders,987
1126,Seinfeld2000,1
1127,DanLea82,247
1128,iammobilebob,3636
1129,tessadelaunay,1419
1130,burgerwanker,1
1131,houseofcoates,7
1132,TheOnion,7
1133,textsfrommum,1294
1134,angrysmallband,118
1135,PabloFanq,16
1136,ForteanLondon,6267
1137,PRISM_NSA,505
1138,RlCHARDDAWKlNS,31
1139,hiddenagendahk,55
1140,WilliamsDiaries,164
1141,Trendrr,1276
1142,thewrongmans,6
1143,atlasobscura,3331
1144,katiemoffat,1036
1145,dubstep4dads,1937
1146,BestoftheMail,1044
1147,Wakeupjake,816
1148,lawblob,1143
1149,BBCFresh,535
1150,ebona,2183
1151,HelenZaltzman,4562
1152,Fred_Delicious,935
1153,marchaynes,293
1154,isaach,2199
1155,ParsonsSpeaks,61
1156,DougieColon,79
1157,MagicRecs,10
1158,BBCTwo,1235
1159,unicornpower,346
1160,JashMcCartney,405
1161,groble,89
1162,craa22uk,1
1163,potluck_branch,27
1164,garycutlack,733
1165,HomespunMedway,150
1166,SpecialK_Tweets,315
1167,randoapp,2
1168,True_Panks,463
1169,ClarissaDM,841
1170,WHS_Carpet,14790
1171,TonyCowards,7990
1172,buenothebear,7
1173,FutureLearn,1284
1174,UEA_makemelaugh,381
1175,shitlondon,983
1176,DesertedWorld,20
1177,BBCCloudLab,32
1178,thisisdavid,1430
1179,FleshandBuns,1257
1180,stevehornby,664
1181,BBCliveblog,8
1182,ACKappn,41
1183,somethingIsaid,110
1184,FoodPit,177
1185,bbcbadults,308
1186,origiful,520
1187,wearemadd,524
1188,lukegregory,356
